country_name,country_code,indicator_name,indicator_code,year,value
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013,2.105012312
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2013,2.97
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2013,7.397400682
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2013,1.849146571
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,4.693722526
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2014,4.587025
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2014,120.5286835
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,2.88
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,3.142990509
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2014,3.048107787
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2014,6.304048086
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2014,1.64578546
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,6.006721946
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2015,4.565375
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2015,123.0651806
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,3.1
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,2.104389802
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2015,3.134487179
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2015,3.043535132
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2015,1.606828288
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,5.091532422
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2016,4.531066667
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2016,121.9354289
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,3.44
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,2.090566595
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2016,3.02803563
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2016,2.801133603
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2016,1.614268256
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,4.449781398
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2017,4.608078086
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2017,117.1273016
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,3.41
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,3.871201158
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2017,2.924518667
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2017,4.644639093
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2017,1.549187227
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,5.81272241
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2018,4.928440385
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2018,120.2461831
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2018,3.3
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,0.884709161
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2018,3.143443722
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2018,7.68802392
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2018,1.468190965
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,4.843086976
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2019,4.876892949
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2019,120.6783775
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2019,3.33
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2019,0.662891866
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2019,2.983390625
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2019,2.674720321
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2019,1.516120898
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,4.413187421
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2020,3.944207692
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2020,133.7857494
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2020,4.54
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,-1.138702154
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2020,1.954976736
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2020,4.593247706
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2020,1.567126711
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2020,-5.456846584
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2021,3.444106404
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2021,127.2319861
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2021,4.64
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2021,2.477102415
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2021,1.561721181
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2021,5.559034094
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2021,1.67512095
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2021,3.315349544
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2022,3.908026667
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2022,113.0457796
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2022,3.93
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022,3.378698625
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2022,1.94905
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2022,3.997014915
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2022,1.718624666
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2022,9.03173723
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2023,5.317375006
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2023,117.0750836
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2023,3.858
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2023,2.488865601
