Country Name,Country Code,Indicator Name,Indicator Code,Theme,Indicator,Year,Value
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2013,4751.857062
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2014,4996.941863
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2015,5206.607725
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2016,5414.710642
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2017,5687.517091
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2018,6037.750905
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2019,6398.937275
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2020,6065.085249
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2021,6102.805227
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2022,6718.40374
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2023,6942.399307
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2024,7208.161951
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2000,4222.304132
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2001,3887.196756
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2002,4411.377312
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2003,4459.560707
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2004,5017.125942
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2005,4962.805372
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2006,5366.690199
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2007,5787.655228
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2008,6091.046682
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2009,5575.516045
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2010,6123.00817
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2011,6484.742194
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2012,6560.879984
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2013,6556.012913
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2014,6603.148634
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2015,7018.848649
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2016,7190.634589
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2017,7419.794771
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2018,7467.782682
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2019,7863.871552
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2020,7471.263747
Malaysia,MYS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic Well-being,Income per Capita,2021,7437.761732
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2000,1.534740237
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2001,1.416784732
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2002,1.807872463
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2003,1.089676326
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2004,1.421271159
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2005,2.975070927
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2006,3.609235642
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2007,2.027353178
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2008,5.440782211
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2009,0.583308406
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2010,1.622852356
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2011,3.174470922
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2012,1.663571025
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2013,2.105012312
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2014,3.142990509
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2015,2.104389802
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2016,2.090566595
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2017,3.871201158
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2018,0.884709161
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2019,0.662891866
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2020,-1.138702154
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2021,2.477102415
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2022,3.378698625
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2023,2.488865601
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic Well-being,Inflation,2024,1.834100204
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2000,7.673333333
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2001,7.126666667
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2002,6.528333333
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2003,6.300833333
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2004,6.045833333
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2005,5.9525
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2006,6.485833333
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2007,6.409166667
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2008,6.08
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2009,5.084166667
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2010,5.0
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2011,4.915
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2012,4.785833333
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2013,4.6498
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2014,4.587025
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2015,4.565375
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2016,4.531066667
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2017,4.608078086
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2018,4.928440385
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2019,4.876892949
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2020,3.944207692
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2021,3.444106404
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2022,3.908026667
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2023,5.317375006
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,Financial System Support,Lending Rate,2024,5.282681
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2005,9.390239522
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2006,8.495598649
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2007,6.498810578
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2008,4.808180972
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2009,3.626565493
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2010,3.354026707
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2011,2.681390308
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2012,2.015843113
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial System Support,Non-performing Loans,2013,1.849146571
